table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,auth,users,raw_user_meta_data,18,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,18,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,is_super_admin,19,null,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,19,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,created_at,20,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,20,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,updated_at,21,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,21,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,phone_confirmed_at,23,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,23,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,phone_change_sent_at,26,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,26,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,confirmed_at,27,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,27,NO,NO,null,null,null,null,null,NO,ALWAYS,"LEAST(email_confirmed_at, phone_confirmed_at)",YES
postgres,auth,users,email_change_confirm_status,29,0,YES,smallint,null,null,16,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int2,null,null,null,null,29,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,banned_until,30,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,30,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,reauthentication_sent_at,32,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,32,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,is_sso_user,33,false,NO,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,33,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,deleted_at,34,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,34,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,is_anonymous,35,false,NO,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,35,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,user_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,identity_data,3,null,NO,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,last_sign_in_at,5,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,created_at,6,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,updated_at,7,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,identities,id,9,gen_random_uuid(),NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,audit_log_entries,instance_id,1,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,audit_log_entries,id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,audit_log_entries,payload,3,null,YES,json,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,json,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,audit_log_entries,created_at,4,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,factor_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,created_at,3,null,NO,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,verified_at,4,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,ip_address,5,null,NO,inet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,inet,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sso_providers,resource_id,2,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,email_change_token_current,28,''::character varying,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,28,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,code_challenge,5,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,request_id,3,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,reauthentication_token,31,''::character varying,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,31,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sso_domains,domain,3,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,for_email,4,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
